battleID,userID,battle,n_sims
1,1,Cantina 6-D,20
2,1,Cantina 6-D,5
3,1,Light Side 7-C (Hard),5
4,1,Dark Side 5-D (Hard),5
5,1,Light Side 8-D (Hard),5
6,1,Dark Side 9-B (Hard),4
7,1,Fleet 5-A (Hard),5
8,1,Fleet 5-B (Hard),1
9,3,Light Side 6-B (Hard),5
10,3,Fleet 1-B (Hard),5
11,3,Cantina 2-G,8
12,3,Light Side 8-D (Hard),3
13,3,Fleet 2-E (Hard),3
14,3,Cantina 2-G,12
15,3,Dark Side 7-D (Hard),5
16,3,Light Side 8-D (Hard),2
17,3,Dark Side 9-B (Hard),1
18,3,Fleet 2-E (Hard),2
19,3,Fleet 5-A (Hard),3
20,1,Dark Side 9-B (Hard),1
21,1,Cantina 6-D,9
22,1,Fleet 5-B (Hard),4
23,1,Light Side 8-B (Hard),5
24,1,Fleet 4-D (Normal),4
25,1,Dark Side 9-B (Normal),5
26,1,Fleet 4-D (Normal),4
27,1,Dark Side 9-B (Normal),8
28,3,Fleet 5-A (Hard),2
29,3,Dark Side 9-B (Hard),4
