battleID,userID,battle,n_sims
1,1,Fleet 5-A (Hard),5
2,1,Cantina 8-C,3
3,1,Light Side 8-D (Hard),5
4,1,Light Side 8-B (Hard),5
5,1,Fleet 5-B (Hard),5
6,1,Fleet 5-D (Hard),4
7,3,Fleet 2-E (Hard),5
8,3,Cantina 2-G,12
9,3,Light Side 6-B (Hard),5
10,3,Dark Side 9-B (Hard),3
11,3,Fleet 5-A (Hard),2
12,1,Dark Side 9-E (Normal),6
13,1,Cantina 8-C,7
14,1,Dark Side 9-E (Normal),14
15,1,Fleet 5-D (Hard),1
16,1,Fleet 1-A (Normal),10
17,3,Light Side 8-D (Hard),5
18,3,Cantina 2-G,12
19,3,Dark Side 7-D (Hard),2
20,3,Fleet 5-A (Hard),3
21,3,Fleet 1-B (Hard),2
22,3,Dark Side 8-B (Normal),8
23,3,Fleet 1-A (Normal),5
