battleID,userID,battle,n_sims
1,1,Light Side 8-D (Hard),5
2,1,Light Side 8-B (Hard),5
3,1,Fleet 5-A (Hard),5
4,1,Fleet 5-B (Hard),5
5,1,Fleet 5-D (Hard),2
6,1,Dark Side 8-B (Normal),20
7,1,Dark Side 7-E (Normal),9
8,1,Cantina 8-F,5
9,3,Cantina 2-G,8
10,3,Dark Side 7-D (Hard),5
11,3,Dark Side 9-B (Hard),5
12,3,Light Side 8-D (Hard),5
13,3,Fleet 2-E (Hard),5
14,3,Fleet 5-A (Hard),2
15,3,Dark Side 5-D (Hard),5
16,1,Cantina 8-F,6
17,1,Dark Side 7-E (Normal),16
18,1,Fleet 5-D (Hard),3
19,1,Fleet 5-C (Hard),3
20,3,Cantina 2-G,13
21,3,Fleet 5-A (Hard),3
22,3,Dark Side 8-A (Hard),5
23,3,Light Side 2-A (Hard),5
24,3,Fleet 5-B (Hard),3
