battleID,reward,count
1,Flawed Signal Data,11
1,Ability Material Mk III,4
1,Ability Material Mk II,10
1,Ability Material Mk I,8
2,Flawed Signal Data,6
2,Ability Material Mk III,1
2,Ability Material Mk II,3
2,Ability Material Mk I,2
3,Amilyn Holdo,4
3,Mk 5 Merr-Sonn Thermal Detonator Prototype Salvage,1
3,Mk 7 BlasTech Weapon Mod Prototype Salvage,2
3,Mk 3 Chiewab Hypo Syringe Prototype Salvage,4
4,Mk 3 Czerka Stun Cuffs Salvage,1
4,Mk 4 SoroSuub Keypad Salvage,1
4,Mk 7 BlasTech Weapon Mod Prototype Salvage,2
4,Mk 10 BlasTech Weapon Mod Salvage,4
5,BTL-B Y-wing Starfighter,2
5,Ima-Gun Di,2
5,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,3
5,Mk 6 TaggeCo Holo Lens Prototype Salvage,2
6,Mk 2 TaggeCo Holo Lens,4
6,Mk 1 BlasTech Weapon Mod,2
7,Shaak Ti,4
7,Mk 1 Zaltin Bacta Gel Prototype Salvage,2
7,Ship Ability Material Mk III,1
8,B1 Battle Droid,6
8,Mk 9 Fabritech Data Pad Salvage,2
8,Mk 1 Chedak Comlink Salvage,5
9,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
9,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
9,Reinforcement Materials,1
10,Flawed Signal Data,2
10,Ability Material Mk III,1
10,Ability Material Mk II,2
10,Ability Material Mk I,4
11,Flawed Signal Data,3
11,Ability Material Mk III,2
11,Ability Material Mk II,1
12,Droideka,4
12,Xanadu Blood,2
12,Mk 2 Zaltin Bacta Gel Prototype Salvage,2
12,Mk 6 Nubian Security Scanner Prototype Salvage,1
12,Mk 4 TaggeCo Holo Lens Salvage,2
12,Mk 4 Nubian Security Scanner Prototype Salvage,2
13,Threepio & Chewie,1
13,Mk 5 SoroSuub Keypad Salvage,2
13,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
14,Enfys Nest,2
14,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
14,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
14,Mk 3 Chiewab Hypo Syringe Prototype Salvage,1
15,Mk 8 BioTech Implant Component,1
15,Reinforcement Materials,1
16,Threepio & Chewie,1
16,Mk 7 BAW Armor Mod Prototype Salvage,1
17,Mk 5 A/KT Stun Gun Prototype Salvage,1
17,Mk 3 Chiewab Hypo Syringe Prototype Salvage,2
17,Mk 2 SoroSuub Keypad Prototype,3
18,Mk 2 Zaltin Bacta Gel Prototype Salvage,3
18,Mk 4 Zaltin Bacta Gel Salvage,1
