battleID,reward,count
1,Incomplete Signal Data,17
1,Ability Material Mk III,2
1,Ability Material Mk II,6
1,Ability Material Mk I,8
2,Jango Fett,4
2,Mk 3 Czerka Stun Cuffs Salvage,1
2,Mk 7 BlasTech Weapon Mod Prototype Salvage,1
2,Mk 10 BlasTech Weapon Mod Salvage,1
3,Anakin's Eta-2 Starfighter,1
3,Mk 8 BlasTech Weapon Mod Prototype Salvage,2
3,Mk 3 TaggeCo Holo Lens Prototype,2
4,Rey (Scavenger),2
4,Mk 1 Carbanti Sensor Array Prototype Salvage,2
4,Mk 5 TaggeCo Holo Lens Prototype Salvage,1
4,Mk 2 TaggeCo Holo Lens,2
5,Mk 12 ArmaTek Fusion Furnace Prototype Salvage,1
5,Mk 4 BAW Armor Mod Salvage,2
5,Mk 2 Fabritech Data Pad,3
6,First Order Executioner,2
6,Ability Material Mk III,1
6,Ability Material Mk II,3
6,Ability Material Mk I,4
7,Admiral Piett,1
7,Resistance Hero Poe,2
7,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
7,Mk 1 Carbanti Sensor Array Prototype Salvage,1
8,Sun Fac's Geonosian Starfighter,2
8,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
8,Mk 1 Carbanti Sensor Array Prototype Salvage,2
8,Ship Ability Material Mk I,1
9,Emperor's Shuttle,1
9,Mk 4 Arakyd Droid Caller Salvage,1
9,Mk 5 Chiewab Hypo Syringe Prototype Salvage,1
9,Mk 4 BAW Armor Mod Salvage,1
9,Mk 1 Chedak Comlink Salvage,1
10,Reinforcement Materials,1
10,Ship Ability Material Mk I,1
11,Fragmented Signal Data,11
11,Ability Material Mk III,3
11,Ability Material Mk II,4
11,Ability Material Mk I,6
12,Sith Empire Trooper,4
12,Ability Material Mk III,4
12,Ability Material Mk II,1
12,Ability Material Mk I,1
13,Rey (Scavenger),2
13,Mk 2 TaggeCo Holo Lens,3
13,Mk 2 CEC Fusion Furnace,2
14,Bossk,2
14,Mk 9 Fabritech Data Pad Salvage,1
14,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
14,Mk 5 Nubian Security Scanner Prototype Salvage,3
14,Mk 6 TaggeCo Holo Lens Prototype Salvage,2
15,Shaak Ti,6
15,Mk 10 TaggeCo Holo Lens Salvage,2
15,Ship Ability Material Mk III,1
16,First Order Executioner,8
16,Ability Material Mk II,1
16,Ability Material Mk I,1
17,Mk 4 Arakyd Droid Caller Salvage,2
17,Mk 1 Chedak Comlink Salvage,1
17,Mk 4 BAW Armor Mod Salvage,1
18,Jango Fett,6
18,Hound's Tooth,2
18,Mk 3 Czerka Stun Cuffs Salvage,2
18,Mk 7 BlasTech Weapon Mod Prototype Salvage,3
19,Mk 1 Zaltin Bacta Gel Prototype Salvage,2
19,Mk 3 BAW Armor Mod,1
20,Carth Onasi,2
20,Mk 3 Carbanti Sensor Array Salvage,1
21,Mk 9 Fabritech Data Pad Salvage,1
21,Mk 5 Nubian Security Scanner Prototype Salvage,2
21,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
21,Mk 6 TaggeCo Holo Lens Prototype Salvage,2
22,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
22,Mk 2 Chedak Comlink Prototype,1
23,Mk 5 Nubian Security Scanner Prototype Salvage,1
23,Mk 4 BAW Armor Mod Salvage,3
23,Mk 2 Fabritech Data Pad,1
24,Mk 7 Kyrotech Shock Prod Prototype Salvage,2
24,Mk 5 SoroSuub Keypad Salvage,3
24,Mk 7 BAW Armor Mod Prototype Salvage,6
24,Mk 5 Fabritech Data Pad,2
