battleID,reward,count
1,Admiral Piett,1
1,Resistance Hero Poe,2
1,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
1,Mk 5 Nubian Design Tech Prototype Salvage,1
1,Mk 1 Athakam Medpac Salvage,1
2,Bossk,2
2,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
2,Mk 5 Nubian Security Scanner Prototype Salvage,2
2,Mk 6 TaggeCo Holo Lens Prototype Salvage,2
3,Jango Fett,2
3,Hound's Tooth,1
3,Mk 3 Czerka Stun Cuffs Salvage,1
3,Mk 7 BlasTech Weapon Mod Prototype Salvage,1
3,Mk 10 BlasTech Weapon Mod Salvage,1
4,Mk 10 TaggeCo Holo Lens Salvage,1
4,Mk 1 Zaltin Bacta Gel Prototype Salvage,1
4,Mk 2 Sienar Holo Projector Prototype Salvage,1
4,Ship Ability Material Mk III,1
5,First Order Executioner,6
5,Ability Material Mk II,2
6,Emperor's Shuttle,3
6,Mk 4 BAW Armor Mod Salvage,1
7,Carth Onasi,6
7,Mk 3 Carbanti Sensor Array Salvage,2
7,Ship Ability Material Mk I,1
8,Shaak Ti,2
9,B1 Battle Droid,2
9,Mk 2 Sienar Holo Projector Prototype Salvage,1
9,Reinforcement Materials,1
9,Ship Ability Material Mk III,2
10,Droideka,4
10,Xanadu Blood,2
10,Mk 6 Nubian Security Scanner Prototype Salvage,2
10,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
10,Mk 4 TaggeCo Holo Lens Salvage,3
10,Mk 4 Nubian Security Scanner Prototype Salvage,3
11,Mk 5 A/KT Stun Gun Prototype Salvage,3
11,Mk 7 BAW Armor Mod Prototype Salvage,3
11,Mk 4 Loronar Power Cell Prototype,4
12,Incomplete Signal Data,5
12,Ability Material Mk III,1
12,Ability Material Mk II,2
12,Ability Material Mk I,3
13,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
13,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
13,Reinforcement Materials,1
13,Ship Ability Material Mk III,1
13,Ship Ability Material Mk I,1
14,Incomplete Signal Data,7
14,Ability Material Mk III,4
14,Ability Material Mk II,4
14,Ability Material Mk I,4
15,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
15,Mk 3 Chiewab Hypo Syringe Prototype Salvage,1
15,Ship Ability Material Omega,1
16,Mk 5 A/KT Stun Gun Prototype Salvage,3
16,Mk 7 BAW Armor Mod Prototype Salvage,3
16,Mk 4 Loronar Power Cell Prototype,6
17,Mk 6 Fabritech Data Pad Salvage,1
18,First Order Executioner,8
18,Ability Material Mk II,1
18,Ability Material Mk I,2
19,Bossk,6
19,Mk 9 Fabritech Data Pad Salvage,2
19,Mk 10 Neuro-Saav Electrobinoculars Salvage,2
19,Mk 5 Nubian Security Scanner Prototype Salvage,1
19,Mk 6 TaggeCo Holo Lens Prototype Salvage,2
20,Mk 1 Zaltin Bacta Gel Prototype Salvage,1
20,Mk 2 Sienar Holo Projector Prototype Salvage,1
20,Ship Ability Material Mk I,1
21,Mk 5 Chiewab Hypo Syringe Prototype Salvage,1
21,Mk 4 Arakyd Droid Caller Salvage,1
21,Mk 4 BAW Armor Mod Salvage,1
